Date,Open*,High,Low,Close**,Volume,Market Cap
03-Feb-20,9344.68,9540.37,9248.63,9293.52,30934096509.00,169126861034.00
04-Feb-20,9292.84,9331.27,9112.81,9180.96,29893183716.00,167093636162.00
05-Feb-20,9183.42,9701.30,9163.70,9613.42,35222060874.00,174983423933.00
06-Feb-20,9617.82,9824.62,9539.82,9729.80,37628823716.00,177118274394.00
07-Feb-20,9726.00,9834.72,9726.00,9795.94,34522718159.00,178339437206.00
08-Feb-20,9793.07,9876.75,9678.91,9865.12,35172043762.00,179615828322.00
09-Feb-20,9863.89,10129.44,9850.39,10116.67,35807884663.00,184214765394.00
10-Feb-20,10115.56,10165.77,9784.56,9856.61,39386548075.00,179494809266.00
11-Feb-20,9855.89,10210.05,9729.33,10208.24,37648059389.00,185917114989.00
12-Feb-20,10202.39,10393.61,10202.39,10326.05,43444303830.00,188081204386.00
13-Feb-20,10323.96,10457.63,10116.16,10214.38,49356071373.00,186065003526.00
14-Feb-20,10211.55,10322.00,10125.53,10312.12,43338264162.00,187862645449.00
15-Feb-20,10313.86,10341.56,9874.43,9889.42,43865054831.00,180179996219.00
16-Feb-20,9889.18,10053.97,9722.39,9934.43,43374780305.00,181017665264.00
17-Feb-20,9936.56,9938.82,9507.64,9690.14,45998298413.00,176585280987.00
18-Feb-20,9691.23,10161.94,9632.38,10142.00,47271023953.00,184838512656.00
19-Feb-20,10143.80,10191.68,9611.22,9633.39,46992019710.00,175585931679.00
20-Feb-20,9629.33,9643.22,9507.90,9608.48,44925260237.00,175147142158.00
21-Feb-20,9611.78,9723.01,9589.74,9686.44,40930547513.00,176587087363.00
22-Feb-20,9687.71,9698.23,9600.73,9663.18,35838025154.00,176180696548.00
23-Feb-20,9663.32,9937.40,9657.79,9924.52,41185185761.00,180963233540.00
24-Feb-20,9921.58,9951.75,9537.04,9650.17,45080496648.00,175977808526.00
25-Feb-20,9651.31,9652.74,9305.02,9341.71,42515259129.00,170369581558.00
26-Feb-20,9338.29,9354.78,8704.43,8820.52,50420050762.00,160879489024.00
27-Feb-20,8825.09,8932.89,8577.20,8784.49,45470195695.00,160238496932.00
28-Feb-20,8788.73,8890.46,8492.93,8672.46,44605450443.00,158211707019.00
29-Feb-20,8671.21,8775.63,8599.51,8599.51,35792392544.00,156895988084.00
01-Mar-20,8599.76,8726.80,8471.21,8562.45,35349164300.00,156238987740.00
02-Mar-20,8563.26,8921.31,8532.63,8869.67,42857674409.00,161861167745.00
03-Mar-20,8865.39,8901.60,8704.99,8787.79,42386715821.00,160383579416.00
04-Mar-20,8788.54,8843.37,8712.43,8755.25,34746706368.00,159807857328.00
05-Mar-20,8760.29,9142.05,8757.25,9078.76,39698054597.00,165731679918.00
06-Mar-20,9078.31,9167.70,9032.08,9122.55,40826885651.00,166548261960.00
07-Mar-20,9121.60,9163.22,8890.74,8909.95,36216930370.00,162684945903.00
08-Mar-20,8908.21,8914.34,8105.25,8108.12,39973102121.00,148060284561.00
09-Mar-20,8111.15,8177.79,7690.10,7923.64,46936995808.00,144706353758.00
10-Mar-20,7922.15,8136.95,7814.76,7909.73,42213940994.00,144465567734.00
11-Mar-20,7910.09,7950.81,7642.81,7911.43,38682762605.00,144508402671.00
